tv 0.025589192708333333
cabinet 0.373330078125
scissors 0.0033430989583333333
potted plant 0.034860026041666665
cup 0.007470703125
apple 0.006370442708333333
ceiling 0.04049153645833333
apple 0.002421875
knife 0.0001171875
knife 0.00022135416666666666
bowl 0.0042545572916666665
dining table 0.086884765625
wall 0.097890625
oven 0.006119791666666667
wall 0.07724934895833334
knife 0.00016927083333333334
knife 0.000166015625
counter 0.045615234375
refrigerator 0.012327473958333333
sink 0.024029947916666666
