clock 0.002223307291666667
chair 0.010016276041666666
chair 0.082431640625
chair 0.012233072916666667
window 0.06349934895833333
chair 0.005032552083333333
chair 0.020338541666666668
floor 0.21501953125
wall 0.341787109375
dining table 0.014850260416666667
tv 0.003404947916666667
chair 0.0011751302083333334
chair 0.0023600260416666665
chair 0.0015201822916666666
wall 0.013971354166666667
door 0.023922526041666666
chair 0.0047265625
cabinet 0.08306966145833333
rug 0.034329427083333336
dining table 0.004202473958333334
