bed 0.21005859971046448
dining table 0.21005859971046448
chair 0.06576497852802277
person 0.01194661483168602
book 0.012500000186264515
book 0.002594401128590107
book 0.001269531319849193
book 0.002389322966337204
chair 0.01878255233168602
book 0.01878255233168602
book 0.0017643229803070426
book 0.007216797210276127
teddy bear 0.0013378906296566129
tie 0.0010644531575962901
book 0.004547526128590107
book 0.007529296912252903
person 0.003505859524011612
book 0.0042447918094694614
book 0.0013606770662590861
book 0.0014355469029396772
