bed 0.4679785370826721
laptop 0.0031412760727107525
cell phone 0.0031412760727107525
book 0.0031412760727107525
clock 0.0031412760727107525
book 0.02004231885075569
cell phone 0.0019303385633975267
book 0.0019303385633975267
clock 0.0019303385633975267
book 0.0036523437593132257
clock 0.00035481771919876337
book 0.0037174480967223644
clock 0.003916015848517418
book 0.0022884116042405367
book 0.0010058593470603228
book 0.005533854477107525
clock 0.0008919271058402956
chair 0.012210287153720856
book 0.0008040365064516664
book 0.0008658854640088975
