person 0.00033432201598770916
parking meter 0.00033432201598770916
car 0.0001585886493558064
bench 0.003058189293369651
stop sign 0.00017144718731287867
bench 0.007794417906552553
bench 0.0006193529698066413
bench 0.003868277184665203
car 0.00012429921480361372
car 0.00013501466310117394
bench 0.0072050681337714195
bench 0.0003600390919018537
bench 0.00650642067193985
truck 0.0012687091948464513
car 0.0001778764562914148
bench 0.0008272327249869704
bus 0.0010886896634474397
truck 0.0010886896634474397
car 5.572033842327073e-05
bench 0.004496202804148197
