bicycle 0.0052356598898768425
car 0.012272385880351067
car 0.0003968078817706555
truck 0.0003968078817706555
car 0.0014505533035844564
truck 0.0014505533035844564
car 0.0006503240438178182
car 8.156606781994924e-05
car 8.377055200980976e-05
car 0.0004695559910032898
car 0.0001432917342754081
car 0.0003240597725380212
potted plant 0.04538600519299507
car 0.0001432917342754081
car 0.00014770071720704436
car 0.00016974560276139528
person 0.0004563290858641267
car 0.0001587231527082622
car 0.00023147127649281174
car 0.00020501740800682455
car 0.00016092765145003796
car 0.0023058948572725058
truck 0.0023058948572725058
car 0.00030642386991530657
truck 0.00030642386991530657
potted plant 0.009787928313016891
person 0.00039239891339093447
traffic light 0.00010581543756416067
car 0.00034169567516073585
person 0.0006878003478050232
