dog 0.002596887294203043
car 0.00346766016446054
person 0.013066002167761326
car 0.0010691768256947398
car 0.00026894756592810154
car 8.817952766548842e-05
potted plant 0.0011110621271654963
car 6.393015792127699e-05
car 0.00019619945669546723
car 0.00014549623301718384
car 0.0001366782671539113
potted plant 0.0010361095191910863
handbag 0.0002733565343078226
car 0.00014990520139690489
person 0.000802433758508414
car 0.0002446981961838901
car 0.00019840394088532776
person 0.00033287773840129375
car 8.817952766548842e-05
car 0.0003725585120264441
truck 0.0003725585120264441
car 0.00031303733703680336
car 0.0011595608666539192
truck 0.0011595608666539192
person 0.0011110621271654963
car 0.0011110621271654963
car 0.0003240597725380212
car 0.0015343237901106477
potted plant 0.0032251663506031036
car 0.0004034213488921523
car 0.0003108328382950276
potted plant 0.000718663155566901
car 0.00019619945669546723
person 0.0004739649884868413
handbag 0.00018738150538410991
car 0.0006547330413013697
truck 0.0006547330413013697
car 0.00019619945669546723
person 0.0001851770211942494
parking meter 0.0001851770211942494
car 0.000165336619829759
person 0.0003042193711735308
person 0.00041223931475542486
car 0.0012433313531801105
car 0.0003703540423884988
car 0.0005268726963549852
car 0.0005026233266107738
car 0.00034169567516073585
car 5.7316694437759e-05
car 0.0001432917342754081
