bed 0.2974381446838379
mouse 0.0005957031389698386
remote 0.0005957031389698386
cell phone 0.0005957031389698386
dog 0.0010416667209938169
teddy bear 0.0010416667209938169
book 0.002037760568782687
book 0.0018684896640479565
remote 0.0009700520895421505
book 0.00413411483168602
chair 0.0029850262217223644
book 0.0013346354244276881
handbag 0.004873047117143869
book 0.004873047117143869
umbrella 0.0036718749906867743
chair 0.008095703087747097
book 0.002236328087747097
chair 0.01460286509245634
person 0.0008691406692378223
person 0.0012532552937045693
sports ball 0.0033430990297347307
bowl 0.0033430990297347307
person 0.001220703125
book 0.0021354167256504297
clock 0.0021354167256504297
book 0.0020149738993495703
person 0.008701171725988388
tv 0.023069661110639572
oven 0.008681640960276127
book 0.0006705729174427688
refrigerator 0.07966797053813934
oven 0.012106119655072689
person 0.0034472655970603228
chair 0.012187500484287739
book 0.0012662761146202683
teddy bear 0.0023925781715661287
person 0.0008886719006113708
book 0.001142578199505806
car 0.0019075521267950535
handbag 0.0019075521267950535
remote 0.0019075521267950535
cell phone 0.0019075521267950535
book 0.005084635689854622
person 0.021038411185145378
book 0.0015299479709938169
book 0.0005436197970993817
chair 0.006731770932674408
person 0.0021549479570239782
book 0.005764974281191826
cat 0.0010416667209938169
