couch 0.308977872133255
remote 0.0009733072947710752
cell phone 0.0009733072947710752
cat 0.008824869990348816
dog 0.008824869990348816
teddy bear 0.008824869990348816
remote 0.0011621094308793545
remote 0.0007975260377861559
bottle 0.0003352864587213844
remote 0.0005794271128252149
person 0.005009765736758709
person 0.0034733074717223644
person 0.00475260429084301
remote 0.00038736980059184134
person 0.007070312742143869
person 0.0013574218610301614
remote 0.0005566406180150807
remote 0.0005110677448101342
person 0.002991536632180214
remote 0.0002929687616415322
