person 0.06968424469232559
couch 0.1958821713924408
book 0.005817057564854622
book 0.0023144532460719347
book 0.0024772135075181723
book 0.00439453125
book 0.0016666667070239782
book 0.0009179687476716936
book 0.0021647135727107525
remote 0.0021907552145421505
book 0.0021907552145421505
book 0.003147786483168602
couch 0.13537435233592987
book 0.0008984375162981451
potted plant 0.0047721355222165585
book 0.0025976563338190317
book 0.00206705741584301
book 0.0018912761006504297
book 0.005279948003590107
book 0.002050781389698386
book 0.00838216207921505
book 0.0045182290486991405
book 0.0026692708488553762
potted plant 0.0065852864645421505
book 0.001630859449505806
book 0.0026399740017950535
book 0.0010058593470603228
book 0.0010351563105359674
cell phone 0.0009960937313735485
book 0.022285155951976776
book 0.003636067733168602
book 0.0013281250139698386
remote 0.0006477864808402956
book 0.0030371095053851604
potted plant 0.013111979700624943
book 0.004358724225312471
remote 0.000462239608168602
cell phone 0.000462239608168602
book 0.0028417969588190317
book 0.0051985676400363445
book 0.0009830729104578495
couch 0.130999356508255
book 0.006038411520421505
book 0.002988281426951289
book 0.0026269531808793545
book 0.0017350261332467198
book 0.001617838628590107
book 0.0022265624720603228
book 0.004707031417638063
book 0.0068033854477107525
