sink 0.010917969048023224
cup 0.0016861979383975267
cup 0.0022265624720603228
cup 0.0017057291697710752
cup 0.0017122395802289248
oven 0.026630859822034836
refrigerator 0.026630859822034836
cup 0.001901041716337204
bottle 0.0018359374953433871
cup 0.0018359374953433871
cup 0.001513671944849193
cup 0.011025390587747097
cup 0.0010156250791624188
apple 0.0015494792023673654
bottle 0.0020572918001562357
cup 0.0020572918001562357
bottle 0.00146484375
bottle 0.00206705741584301
cup 0.00206705741584301
vase 0.001992187462747097
bottle 0.0012174479197710752
bottle 0.0012141927145421505
cup 0.0015820312546566129
bottle 0.0012011718936264515
bottle 0.0007617187802679837
potted plant 0.003004557453095913
bottle 0.0010188802843913436
bottle 0.0007486979593522847
bottle 0.0005696614971384406
dining table 0.22365885972976685
bottle 0.0009993489366024733
potted plant 0.001142578199505806
bottle 0.0011067708255723119
bottle 0.001399739645421505
bottle 0.0009309896267950535
bottle 0.0009179687476716936
bottle 0.0006184895755723119
bottle 0.0022591145243495703
cup 0.0022591145243495703
bottle 0.0008626302005723119
bottle 0.0014876301866024733
potted plant 0.0008040365064516664
cup 0.0005957031389698386
bottle 0.0010839843889698386
cup 0.0013216146035119891
cup 0.0007031250279396772
apple 0.002467447891831398
bottle 0.0008007812430150807
bottle 0.0006738281226716936
book 0.0029980470426380634
hair drier 0.002711588516831398
cup 0.004365234635770321
bowl 0.004365234635770321
cup 0.0021679687779396772
apple 0.0010351563105359674
orange 0.0010351563105359674
dining table 0.19898763298988342
handbag 0.00996419321745634
bottle 0.0002506510354578495
cup 0.001207682304084301
