car 0.03302287310361862
car 0.019778575748205185
truck 0.019778575748205185
potted plant 0.002153805224224925
potted plant 0.0014980197884142399
potted plant 0.0009279579389840364
potted plant 0.0026510022580623627
potted plant 0.0012987124500796199
parking meter 0.001206559594720602
potted plant 0.0012429921189323068
potted plant 0.008981689810752869
potted plant 0.001058686408214271
potted plant 0.002976751886308193
parking meter 0.0006236391491256654
potted plant 0.01727116107940674
potted plant 0.012089170515537262
potted plant 0.0017487613949924707
parking meter 0.0008936685044318438
potted plant 0.0026510022580623627
potted plant 0.003966859541833401
potted plant 0.0020166474860161543
potted plant 0.0011765563394874334
potted plant 0.0023466835264116526
potted plant 0.0011422669049352407
parking meter 0.0002464553399477154
potted plant 0.015631698071956635
potted plant 0.0006557854940183461
bench 0.007687263656407595
potted plant 0.004423337522894144
potted plant 0.0005914928042329848
potted plant 0.0013201433466747403
potted plant 0.0002571707882452756
potted plant 0.001352289691567421
potted plant 0.0005936358938924968
potted plant 0.000855092890560627
parking meter 7.286505569936708e-05
potted plant 0.006945754401385784
potted plant 0.0007629399769939482
