person 0.0003514667332638055
fire hydrant 0.0003514667332638055
stop sign 0.0003514667332638055
parking meter 0.0003514667332638055
stop sign 0.0016544654499739408
stop sign 0.00019716426322702318
stop sign 0.00011572685616556555
stop sign 0.00011144067684654146
stop sign 0.00018644881492946297
parking meter 0.00018644881492946297
stop sign 0.00018644881492946297
traffic light 5.1434159104246646e-05
stop sign 0.00025288460892625153
traffic light 0.00012644230446312577
stop sign 0.0013137140776962042
