car 0.05731908231973648
truck 0.05731908231973648
traffic light 0.0004329041694290936
traffic light 0.0002507415192667395
traffic light 0.00010286831820849329
stop sign 0.00010286831820849329
traffic light 6.214960740180686e-05
stop sign 6.214960740180686e-05
traffic light 0.0002164520847145468
traffic light 0.00010715449752751738
traffic light 7.500814535887912e-05
stop sign 7.500814535887912e-05
potted plant 0.002423834754154086
traffic light 5.1434159104246646e-05
traffic light 5.572033842327073e-05
traffic light 0.00013501466310117394
traffic light 0.00013715775276068598
stop sign 8.358050399692729e-05
parking meter 0.0005464879213832319
potted plant 0.005437018815428019
traffic light 0.00010501140786800534
