bed 0.12001627683639526
chair 0.013691406697034836
chair 0.010751953348517418
book 0.000885416695382446
book 0.001207682304084301
clock 0.00028320314595475793
cup 0.0004069010610692203
bowl 0.0004069010610692203
book 0.0005403645918704569
book 0.0016861979383975267
book 0.0016503906808793545
book 0.0016894531436264515
book 0.0004134114715270698
chair 0.008811849169433117
cup 0.00033203125349245965
bowl 0.00033203125349245965
clock 0.00033203125349245965
cup 0.0006152343703433871
dining table 0.00559895858168602
book 0.0009342448320239782
remote 0.00030273437732830644
chair 0.01500651054084301
dining table 0.01500651054084301
remote 0.0002799479116220027
clock 0.0002799479116220027
book 0.0003059895825572312
book 0.0006477864808402956
chair 0.0026432292070239782
dining table 0.0026432292070239782
book 0.027991537004709244
