tv 0.13028645515441895
clock 0.009003906510770321
laptop 0.003079427173361182
remote 0.003079427173361182
keyboard 0.003079427173361182
book 0.003079427173361182
remote 0.004049479495733976
keyboard 0.004049479495733976
cell phone 0.004049479495733976
book 0.004049479495733976
chair 0.013736979104578495
book 0.00043294273200444877
dining table 0.0442708358168602
remote 0.0021516927517950535
book 0.002747396007180214
remote 0.0020214843098074198
book 0.0011328125838190317
laptop 0.002864583395421505
remote 0.002864583395421505
keyboard 0.002864583395421505
book 0.002864583395421505
remote 0.001526692765764892
remote 0.0018359374953433871
book 0.0018359374953433871
book 0.000963541679084301
book 0.0009114583372138441
mouse 0.00039388021104969084
remote 0.0006901042070239782
cell phone 0.0006901042070239782
book 0.0013606770662590861
