bed 0.2821907699108124
potted plant 0.015143229626119137
chair 0.015188802033662796
couch 0.015188802033662796
cup 0.0011132812360301614
bottle 0.0006510416860692203
cup 0.0006510416860692203
vase 0.0006510416860692203
clock 0.0051725259982049465
remote 0.00044921875814907253
book 0.0012044270988553762
vase 0.0016601562965661287
tv 0.026425782591104507
remote 0.0006998698227107525
vase 0.0009667968843132257
cup 0.0023860677611082792
remote 0.0007649739854969084
cell phone 0.0007649739854969084
book 0.0007649739854969084
cup 0.0008463541744276881
book 0.0008593749953433871
remote 0.0013476562453433871
cup 0.0018131510587409139
vase 0.0005436197970993817
cup 0.00028320314595475793
remote 0.00028971355641260743
laptop 0.0017610677750781178
remote 0.0017610677750781178
cell phone 0.0017610677750781178
book 0.0017610677750781178
clock 0.0017610677750781178
remote 0.00037434897967614233
book 0.00037434897967614233
vase 0.0009733072947710752
vase 0.0013606770662590861
book 0.0009733072947710752
cup 0.0003222656378056854
book 0.0005403645918704569
potted plant 0.004098307341337204
clock 0.00037434897967614233
