tv 0.14362630248069763
chair 0.019957682117819786
chair 0.05297200754284859
dining table 0.05297200754284859
cup 0.0011295572621747851
vase 0.0011295572621747851
knife 0.0006575520965270698
scissors 0.0006575520965270698
bowl 0.0029231770895421505
bird 0.003476562676951289
potted plant 0.003476562676951289
vase 0.003476562676951289
keyboard 0.006741536781191826
chair 0.07749674469232559
knife 0.00040364585584029555
knife 0.0015169271500781178
scissors 0.0015169271500781178
chair 0.02618815191090107
chair 0.02218424528837204
chair 0.0611165389418602
knife 0.0003971354162786156
knife 0.0015950520755723119
scissors 0.0015950520755723119
keyboard 0.0019726562313735485
remote 0.002102864673361182
chair 0.013427734375
backpack 0.03683919459581375
chair 0.009739583358168602
chair 0.013912760652601719
keyboard 0.0074707032181322575
backpack 0.004960937425494194
handbag 0.004960937425494194
chair 0.05306640639901161
bowl 0.001901041716337204
keyboard 0.0010872395941987634
chair 0.03558919206261635
remote 0.004664713516831398
knife 0.0017154947854578495
bird 0.0024186198133975267
banana 0.0024186198133975267
potted plant 0.0024186198133975267
remote 0.002415364608168602
keyboard 0.002415364608168602
dining table 0.028317058458924294
chair 0.024973958730697632
clock 0.004423828329890966
bowl 0.001477864570915699
chair 0.04930989816784859
chair 0.03167968988418579
dining table 0.03167968988418579
