couch 0.4556477963924408
remote 0.0008170573273673654
book 0.0008886719006113708
book 0.0016634115017950535
book 0.0053515625186264515
book 0.002812500111758709
remote 0.0007682291907258332
remote 0.001373698003590107
bowl 0.0031835937406867743
remote 0.0031835937406867743
book 0.0031835937406867743
remote 0.001220703125
cell phone 0.001220703125
remote 0.001669921912252903
book 0.001669921912252903
book 0.006565755233168602
remote 0.0003971354162786156
chair 0.027405599132180214
dining table 0.027405599132180214
chair 0.03646809980273247
book 0.005618489813059568
book 0.010598958469927311
remote 0.001901041716337204
dining table 0.01083984412252903
chair 0.027304688468575478
laptop 0.027304688468575478
book 0.027304688468575478
book 0.006832682527601719
book 0.0023665365297347307
remote 0.0029947918374091387
book 0.0029947918374091387
book 0.0022395832929760218
chair 0.011227213777601719
remote 0.0005110677448101342
remote 0.0005403645918704569
cell phone 0.0005403645918704569
book 0.008570963516831398
book 0.009303385391831398
remote 0.0017480469541624188
remote 0.0009179687476716936
