floor 0.17687825520833333
ceiling 0.05782877604166667
chair 0.0033854166666666668
chair 0.016722005208333335
chair 0.0119140625
cabinet 0.25352864583333334
wall 0.27139973958333335
chair 0.03895833333333333
wall 0.019967447916666665
bottle 0.009527994791666666
chair 0.0026106770833333333
chair 0.0009049479166666666
chair 0.0013053385416666667
chair 0.00171875
chair 0.028883463541666668
dining table 0.00345703125
dining table 0.0088671875
wall 0.014270833333333333
door 0.009287109375
light 0.009091796875
