tree 0.2983531937734836
road 0.26742458400429414
railroad 0.047224906065485774
car 0.04073215244229737
car 0.0007471819645732689
person 0.0005410628019323671
traffic light 5.367686527106817e-05
car 0.00045088566827697265
traffic light 2.576489533011272e-05
car 0.00042297369833601715
car 0.00010091250670960816
person 0.0004830917874396135
pavement 0.08267740203972088
building 0.03852281266774021
car 0.00026838432635534085
fence 0.007302200751476114
car 0.00045303274288781536
car 0.00022973698336017177
car 0.00046162104133118625
grass 0.051536231884057974
