chair 0.09698568284511566
tv 0.028046876192092896
tv 0.025465495884418488
bottle 0.0037825522013008595
cup 0.0037825522013008595
cup 0.002324218861758709
cell phone 0.002324218861758709
keyboard 0.0014583333395421505
couch 0.15390625596046448
bed 0.15390625596046448
remote 0.0022623699624091387
keyboard 0.0022623699624091387
remote 0.004108073189854622
cell phone 0.004108073189854622
tv 0.054104819893836975
remote 0.0042317709885537624
remote 0.0012369791511446238
remote 0.002529297024011612
keyboard 0.002529297024011612
cup 0.004254557192325592
remote 0.004254557192325592
clock 0.004254557192325592
laptop 0.0018912761006504297
keyboard 0.0018912761006504297
book 0.0018912761006504297
bed 0.05764323100447655
book 0.006962890736758709
book 0.00439453125
mouse 0.0012174479197710752
remote 0.0012174479197710752
dining table 0.07642903923988342
keyboard 0.0012890625512227416
remote 0.0005696614971384406
dining table 0.135498046875
bed 0.09690755605697632
remote 0.0013216146035119891
remote 0.0008984375162981451
book 0.0008984375162981451
keyboard 0.0005859375232830644
book 0.004287109710276127
