chair 0.03501953184604645
bed 0.20409831404685974
bottle 0.0010774739785119891
cup 0.0010774739785119891
vase 0.0010774739785119891
cup 0.0011295572621747851
clock 0.0011295572621747851
vase 0.0011295572621747851
bottle 0.002711588516831398
cup 0.002711588516831398
clock 0.002711588516831398
vase 0.002711588516831398
teddy bear 0.002711588516831398
bed 0.04585937783122063
bed 0.06419921666383743
bench 0.04201497510075569
dining table 0.04201497510075569
book 0.0006087239598855376
remote 0.0012532552937045693
book 0.0012532552937045693
toothbrush 0.00020182292792014778
clock 0.002089843852445483
vase 0.002089843852445483
book 0.0009407552424818277
book 0.0007291666697710752
dining table 0.016435546800494194
book 0.0005240885657258332
bed 0.019492188468575478
toothbrush 0.00047200522385537624
remote 0.0006217447808012366
