teddy bear 0.008811849169433117
bed 0.29663410782814026
remote 0.000963541679084301
cell phone 0.000963541679084301
book 0.000963541679084301
clock 0.000963541679084301
cat 0.002106119878590107
dog 0.002106119878590107
teddy bear 0.002106119878590107
book 0.0009667968843132257
cup 0.0011132812360301614
book 0.0005110677448101342
book 0.000950520858168602
cup 0.0016601562965661287
book 0.0016601562965661287
clock 0.0016601562965661287
vase 0.0016601562965661287
tie 0.0007584635750390589
bottle 0.003557942807674408
cup 0.003557942807674408
vase 0.003557942807674408
