microwave 0.027063802083333335
vase 0.012054036458333334
banana 0.005110677083333333
apple 0.005029296875
apple 0.0030240885416666667
apple 0.00146484375
apple 0.002864583333333333
bowl 0.034791666666666665
bowl 0.0059244791666666664
wall 0.04708984375
orange 0.0011555989583333333
apple 0.00248046875
dining table 0.108251953125
bowl 0.0027897135416666665
oven 0.016077473958333335
door 0.10817708333333333
oven 0.019388020833333332
potted plant 0.04548502604166667
cabinet 0.3696744791666667
counter 0.028313802083333332
