floor 0.13988932291666667
chair 0.014798177083333334
wall 0.08618815104166666
dining table 0.1143359375
dining table 0.03833333333333333
chair 0.050797526041666666
cabinet 0.147353515625
rug 0.106337890625
bottle 0.0012141927083333334
chair 0.0018001302083333333
door 0.03224609375
orange 0.0012076822916666666
chair 0.009645182291666667
wall 0.03721354166666667
counter 0.010149739583333333
oven 0.010120442708333333
window 0.0548046875
bottle 0.00431640625
orange 0.00021809895833333333
light 0.016731770833333333
