microwave 0.0033170572916666665
chair 0.02788736979166667
chair 0.012786458333333334
chair 0.044391276041666664
chair 0.012451171875
window 0.08254231770833333
chair 0.019326171875
clock 0.0026432291666666666
cabinet 0.10923828125
wall 0.2748307291666667
chair 0.0023372395833333335
chair 0.007802734375
tv 0.0039029947916666666
dining table 0.005032552083333333
floor 0.199921875
door 0.025029296875
dining table 0.019124348958333332
chair 0.00173828125
wall 0.018180338541666667
rug 0.060693359375
