refrigerator 0.0710546875
chair 0.051529947916666666
vase 0.007044270833333333
chair 0.027757161458333332
oven 0.03804036458333333
cup 0.0020735677083333335
dining table 0.05535481770833333
chair 0.018831380208333335
chair 0.0052734375
cabinet 0.130712890625
sink 0.0028450520833333335
floor 0.06915690104166666
ceiling 0.08370442708333334
door 0.018033854166666665
bottle 0.001796875
wall 0.20345377604166667
wall 0.01833984375
window 0.008059895833333334
potted plant 0.017249348958333334
floor 0.014169921875
