microwave 0.006728515625
chair 0.07033528645833333
chair 0.06651041666666667
chair 0.06140625
ceiling 0.08828125
floor 0.12594401041666667
potted plant 0.0032845052083333333
sink 0.0018912760416666668
chair 0.014235026041666666
cabinet 0.18915364583333333
window 0.040647786458333335
book 0.0009147135416666666
bottle 0.0010221354166666666
vase 0.00022135416666666666
vase 0.003310546875
bottle 0.0010286458333333332
book 0.0013509114583333333
book 0.0007259114583333333
book 0.0008138020833333334
potted plant 0.007913411458333333
bottle 0.0012825520833333332
shelf 0.026481119791666667
sink 0.0008561197916666667
wall 0.028974609375
book 0.00087890625
dining table 0.049407552083333334
book 0.0004524739583333333
wall 0.044404296875
book 0.0011881510416666666
book 0.0008203125
