bed 0.25655272603034973
book 0.001168619841337204
clock 0.001168619841337204
bottle 0.0011295572621747851
cup 0.0011295572621747851
vase 0.0011295572621747851
teddy bear 0.0021289063151925802
hair drier 0.0021289063151925802
bottle 0.0006835937383584678
bottle 0.001451822929084301
cup 0.001451822929084301
book 0.0030208334792405367
book 0.00244140625
bottle 0.0003645833348855376
remote 0.0002604166802484542
book 0.0008300781482830644
book 0.0018131510587409139
book 0.0014583333395421505
handbag 0.0029622395522892475
clock 0.0035221355501562357
