car 0.04045732691884041
car 0.025097155943512917
traffic light 0.0012388620525598526
traffic light 0.00046162103535607457
traffic light 0.008968330919742584
traffic light 0.0055351583287119865
traffic light 0.002181427786126733
traffic light 0.0005625335616059601
traffic light 0.002059044549241662
parking meter 0.0002726784732658416
traffic light 0.0013955985195934772
traffic light 3.435319376876578e-05
traffic light 0.00019753086962737143
traffic light 1.5029521819087677e-05
traffic light 0.0029694042168557644
traffic light 0.0003757380472961813
traffic light 4.2941494029946625e-05
traffic light 0.00010735372779890895
traffic light 0.00020397208572831005
traffic light 0.00022114868625067174
traffic light 9.447128104511648e-05
stop sign 9.447128104511648e-05
traffic light 0.0005367686389945447
traffic light 0.000523886177688837
traffic light 0.000506709620822221
stop sign 0.0031476113945245743
car 2.7911970391869545e-05
car 7.72946877987124e-05
fire hydrant 0.00036070853821001947
traffic light 0.0007815351709723473
traffic light 0.0004057970945723355
traffic light 0.0004229737096466124
traffic light 0.00038003220106475055
parking meter 0.00012023617455270141
traffic light 0.000307031674310565
traffic light 0.0002512077335268259
traffic light 0.00061406334862113
stop sign 0.0001352656981907785
traffic light 0.00010091250442201272
traffic light 0.00037788512418046594
traffic light 6.870638753753155e-05
traffic light 3.6500267015071586e-05
traffic light 0.00018464842287357897
traffic light 0.0003735909704118967
traffic light 0.0007278582779690623
traffic light 0.0011873322073370218
traffic light 0.00029844336677342653
person 0.00035856146132573485
traffic light 0.007662909105420113
traffic light 0.0004637681122403592
traffic light 0.000506709620822221
traffic light 0.003776704194024205
traffic light 0.0007020934135653079
traffic light 0.0011873322073370218
traffic light 0.0005496511003002524
traffic light 0.0008974772063083947
parking meter 0.0008459474192932248
traffic light 0.00039506173925474286
