car 0.02119806781411171
traffic light 0.0005152979283593595
traffic light 0.0011873322073370218
traffic light 0.0004551798047032207
traffic light 0.005517981946468353
traffic light 0.0005603864556178451
traffic light 0.003108964068815112
traffic light 0.0014857755741104484
traffic light 0.002059044549241662
traffic light 0.008933977223932743
traffic light 3.86473438993562e-05
traffic light 0.0001932367158588022
traffic light 0.002202898496761918
traffic light 0.00010305958130629733
traffic light 1.717659688438289e-05
traffic light 4.2941494029946625e-05
traffic light 0.00039291466237045825
traffic light 0.0005346215912140906
traffic light 0.0008073000353761017
traffic light 0.0005088566686026752
traffic light 0.0004895330057479441
traffic light 0.0002318840561201796
traffic light 0.00020182500884402543
traffic light 8.803005766822025e-05
stop sign 8.803005766822025e-05
stop sign 0.0004873859288636595
traffic light 0.00038217927794903517
traffic light 0.0005110037745907903
traffic light 0.0003843263548333198
traffic light 0.00041223832522518933
traffic light 3.86473438993562e-05
traffic light 9.017713455250487e-05
car 3.6500267015071586e-05
traffic light 7.514761091442779e-05
stop sign 0.00018679548520594835
traffic light 0.00025550188729539514
traffic light 0.0003113258280791342
traffic light 0.00016961889923550189
car 2.7911970391869545e-05
traffic light 0.0006634460296481848
traffic light 0.0004229737096466124
traffic light 0.0007665056618861854
traffic light 0.0007192699704319239
traffic light 0.0011701557086780667
traffic light 0.0012624799273908138
parking meter 0.0008867417927831411
traffic light 0.0003048845974262804
traffic light 0.00045732688158750534
traffic light 0.000388620508601889
traffic light 0.0009017713600769639
traffic light 0.0005303274374455214
traffic light 9.232421143678948e-05
traffic light 0.0002834138576872647
