car 0.036480944603681564
traffic light 0.008891035802662373
traffic light 0.0005131508223712444
traffic light 0.0012238324852660298
traffic light 0.00047020934289321303
traffic light 0.0005603864556178451
traffic light 0.005558776203542948
traffic light 0.0021256038453429937
traffic light 0.002190016210079193
traffic light 0.0013633923372253776
traffic light 4.723564052255824e-05
traffic light 0.00307031674310565
car 0.0032055824995040894
stop sign 0.0032055824995040894
traffic light 0.0001932367158588022
traffic light 0.00040150294080376625
traffic light 1.5029521819087677e-05
traffic light 0.00010305958130629733
traffic light 0.0005260332836769521
traffic light 4.5088567276252434e-05
traffic light 0.0003843263548333198
stop sign 0.001122920075431466
traffic light 0.000506709620822221
car 9.232421143678948e-05
traffic light 9.017713455250487e-05
stop sign 9.017713455250487e-05
traffic light 0.0009103596094064415
traffic light 0.00020182500884402543
traffic light 0.0005088566686026752
traffic light 0.00022973697923589498
stop sign 0.0004895330057479441
traffic light 9.017713455250487e-05
traffic light 0.0004208266327623278
traffic light 0.0004057970945723355
person 0.0009146537631750107
traffic light 0.00026623724261298776
traffic light 6.655931065324694e-05
parking meter 0.00011379495117580518
traffic light 0.0003091787511948496
traffic light 3.86473438993562e-05
stop sign 0.00014814814494457096
traffic light 0.0008008588338270783
traffic light 0.0006355340592563152
traffic light 0.0001760601153364405
traffic light 0.00036929684574715793
person 0.0003671497688628733
traffic light 0.0002962962898891419
traffic light 0.0010928609408438206
traffic light 0.0012173913419246674
traffic light 0.015673644840717316
traffic light 0.00039076758548617363
traffic light 0.0003048845974262804
traffic light 0.00046162103535607457
person 0.0003972088161390275
traffic light 0.0005281803314574063
parking meter 0.0008781535434536636
stop sign 0.00039076758548617363
traffic light 9.66183579294011e-05
traffic light 0.0003048845974262804
traffic light 0.0009060655138455331
