car 0.03402898460626602
car 0.007010198663920164
traffic light 0.0005174449761398137
traffic light 0.0011658614967018366
traffic light 0.00047020934289321303
traffic light 0.002172839595004916
traffic light 0.008979066275060177
traffic light 0.0005668277153745294
traffic light 0.005616747308522463
traffic light 0.003038110677152872
traffic light 0.002129897940903902
traffic light 0.0014106279704719782
parking meter 0.0008652710821479559
traffic light 5.79710140300449e-05
traffic light 0.00018464842287357897
traffic light 0.0012195383897051215
traffic light 0.00040150294080376625
traffic light 9.017713455250487e-05
traffic light 0.0003757380472961813
traffic light 4.723564052255824e-05
traffic light 1.5029521819087677e-05
traffic light 0.0005152979283593595
person 0.000523886177688837
stop sign 0.0004981213132850826
traffic light 0.0002318840561201796
traffic light 0.00020182500884402543
traffic light 0.0005088566686026752
traffic light 8.803005766822025e-05
stop sign 8.803005766822025e-05
traffic light 0.0005131508223712444
traffic light 0.0004229737096466124
traffic light 0.00040365001768805087
traffic light 8.803005766822025e-05
traffic light 0.0003843263548333198
traffic light 0.00025550188729539514
car 2.5764895326574333e-05
traffic light 0.0003499731537885964
car 9.66183579294011e-05
traffic light 6.441224104491994e-05
traffic light 0.00016961889923550189
traffic light 3.86473438993562e-05
traffic light 0.000307031674310565
traffic light 0.000704240461345762
traffic light 0.0006634460296481848
traffic light 0.0008094471413642168
traffic light 0.0003177670296281576
traffic light 0.0012324207928031683
traffic light 0.00034567900002002716
traffic light 0.00045947395847178996
person 0.0004272678343113512
traffic light 0.0005496511003002524
traffic light 0.0006956521538086236
traffic light 0.01578529179096222
stop sign 0.003164788009598851
traffic light 0.0008996242540888488
