car 0.023023081943392754
car 0.008624798618257046
traffic light 0.008976918645203114
traffic light 0.000523886177688837
traffic light 0.0012152441777288914
traffic light 0.00045732688158750534
traffic light 0.0005517981480807066
traffic light 0.0054814815521240234
parking meter 0.0008416532655246556
traffic light 0.0021749865263700485
traffic light 0.003050992963835597
traffic light 0.0020869565196335316
traffic light 0.0013633923372253776
traffic light 3.86473438993562e-05
parking meter 0.00028985505923628807
traffic light 0.00018894256209023297
traffic light 2.1470747014973313e-05
traffic light 4.2941494029946625e-05
traffic light 0.0005346215912140906
traffic light 0.0003714438935276121
traffic light 0.00010091250442201272
traffic light 0.0008201824966818094
traffic light 0.0002318840561201796
traffic light 0.00020397208572831005
traffic light 8.803005766822025e-05
stop sign 8.803005766822025e-05
stop sign 0.0004959742072969675
traffic light 0.0005152979283593595
traffic light 0.0005088566686026752
traffic light 0.00040150294080376625
traffic light 0.0004079441714566201
parking meter 0.00013097154442220926
traffic light 0.0002340311330044642
traffic light 0.00038003220106475055
traffic light 6.870638753753155e-05
traffic light 0.0001739130384521559
traffic light 9.232421143678948e-05
traffic light 0.0003091787511948496
traffic light 0.0003735909704118967
car 0.005818572361022234
stop sign 0.00016747182235121727
traffic light 3.86473438993562e-05
traffic light 0.0006591519340872765
car 4.723564052255824e-05
traffic light 0.0008223296026699245
traffic light 0.0002748255501501262
car 1.717659688438289e-05
traffic light 0.0012173913419246674
traffic light 0.0004637681122403592
traffic light 0.0008931830525398254
traffic light 0.0005260332836769521
traffic light 9.017713455250487e-05
traffic light 0.00039076758548617363
traffic light 0.0011959205148741603
