car 0.02753623202443123
traffic light 0.001243156148120761
traffic light 0.005494364071637392
traffic light 0.0005582394078373909
traffic light 0.0030746108386665583
traffic light 0.00016961889923550189
traffic light 0.002056897385045886
parking meter 0.0008566827746108174
traffic light 0.0013505099341273308
traffic light 3.435319376876578e-05
traffic light 0.00019538379274308681
traffic light 0.00899624265730381
traffic light 4.5088567276252434e-05
person 0.0006612989818677306
traffic light 0.002187869045883417
traffic light 0.0003843263548333198
traffic light 1.0735373507486656e-05
traffic light 0.00010735372779890895
traffic light 0.0005324744852259755
traffic light 0.0009790660114958882
traffic light 0.000504562514834106
traffic light 0.0002318840561201796
traffic light 0.0003864734317176044
traffic light 0.0005131508223712444
traffic light 0.00020182500884402543
traffic light 9.017713455250487e-05
stop sign 9.017713455250487e-05
stop sign 0.0004959742072969675
traffic light 0.0004057970945723355
traffic light 0.00041223832522518933
car 3.6500267015071586e-05
traffic light 9.66183579294011e-05
traffic light 6.870638753753155e-05
traffic light 0.0002619430888444185
traffic light 3.86473438993562e-05
traffic light 0.0003091787511948496
stop sign 0.00016747182235121727
traffic light 0.0006892109522596002
traffic light 0.0006591519340872765
traffic light 0.0004766505735460669
traffic light 0.000307031674310565
traffic light 0.00039506173925474286
traffic light 0.0012345679569989443
traffic light 0.0003263553371652961
traffic light 0.0006956521538086236
traffic light 0.00045732688158750534
person 0.0005324744852259755
traffic light 0.0005303274374455214
traffic light 0.0005475040525197983
traffic light 9.66183579294011e-05
traffic light 0.0008953301003202796
traffic light 0.0005152979283593595
traffic light 0.003886205144226551
