car 0.020800858736038208
traffic light 0.0005152979283593595
traffic light 0.0011959205148741603
traffic light 0.00046162103535607457
traffic light 0.0005668277153745294
traffic light 0.005515834782272577
traffic light 0.003053140128031373
traffic light 0.008994095958769321
traffic light 0.0020869565196335316
traffic light 0.0013676865492016077
traffic light 0.0001932367158588022
traffic light 0.0021921631414443254
traffic light 0.00040150294080376625
traffic light 0.000976918963715434
traffic light 4.2941494029946625e-05
traffic light 9.447128104511648e-05
traffic light 0.00038217927794903517
traffic light 4.2941494029946625e-05
traffic light 2.361782026127912e-05
traffic light 0.0005217391299083829
traffic light 0.00022973697923589498
traffic light 0.0003972088161390275
traffic light 0.0004981213132850826
car 0.00324852392077446
stop sign 0.00324852392077446
traffic light 0.00020397208572831005
traffic light 9.017713455250487e-05
stop sign 9.017713455250487e-05
stop sign 0.0004938271595165133
traffic light 0.000504562514834106
traffic light 9.232421143678948e-05
traffic light 0.00040365001768805087
traffic light 0.00041438540210947394
car 0.00011808910494437441
traffic light 0.0002619430888444185
traffic light 0.0001739130384521559
traffic light 6.011808727635071e-05
traffic light 3.86473438993562e-05
stop sign 0.00018035426910500973
traffic light 0.0003091787511948496
traffic light 0.0004208266327623278
traffic light 0.000667740183416754
traffic light 0.0006033279933035374
traffic light 0.001067096134647727
parking meter 0.0008760064374655485
traffic light 0.0008330649579875171
traffic light 0.00045088568003848195
stop sign 0.00039076758548617363
traffic light 9.66183579294011e-05
car 1.717659688438289e-05
traffic light 0.0003091787511948496
traffic light 0.0005281803314574063
traffic light 0.0008953301003202796
