car 0.02661084197461605
car 0.009277509525418282
traffic light 0.0011658614967018366
traffic light 0.005520128645002842
traffic light 0.0005711218691430986
traffic light 0.00303381634876132
traffic light 0.002112721325829625
parking meter 0.0008566827746108174
traffic light 3.86473438993562e-05
traffic light 0.009022007696330547
traffic light 0.0013590982416644692
traffic light 0.00019108963897451758
traffic light 0.00010305958130629733
traffic light 0.00038217927794903517
traffic light 0.0022071925923228264
traffic light 1.5029521819087677e-05
traffic light 0.00039935586391948164
traffic light 0.0005088566686026752
traffic light 4.2941494029946625e-05
traffic light 0.0018099838634952903
car 0.00010305958130629733
traffic light 0.0005002683610655367
traffic light 0.0002318840561201796
stop sign 0.001082125585526228
traffic light 8.803005766822025e-05
stop sign 8.803005766822025e-05
traffic light 0.00020397208572831005
traffic light 0.0005088566686026752
stop sign 0.0031175522599369287
traffic light 0.0004079441714566201
traffic light 0.000425120786530897
stop sign 0.00016103059169836342
traffic light 0.0001717659761197865
traffic light 9.017713455250487e-05
traffic light 0.0003714438935276121
person 0.00018035426910500973
traffic light 0.00025764896417967975
traffic light 0.0008244766504503787
traffic light 0.0003091787511948496
traffic light 0.0003864734317176044
traffic light 0.0010542136151343584
traffic light 3.6500267015071586e-05
traffic light 0.0006527106743305922
person 0.0005324744852259755
traffic light 0.0005088566686026752
traffic light 0.0005496511003002524
traffic light 0.0007063875673338771
traffic light 0.00045303275692276657
traffic light 0.00033923779847100377
traffic light 0.0008996242540888488
traffic light 0.00010305958130629733
traffic light 0.0004938271595165133
traffic light 0.0002748255501501262
traffic light 6.655931065324694e-05
