car 0.03789371997117996
car 0.01904669962823391
traffic light 0.0005217391299083829
traffic light 0.0012495974078774452
traffic light 0.008979066275060177
traffic light 0.0004873859288636595
traffic light 0.0005582394078373909
traffic light 0.005550188012421131
traffic light 0.002183574950322509
traffic light 0.0013590982416644692
traffic light 0.0020998390391469
traffic light 4.079441714566201e-05
traffic light 0.00019108963897451758
traffic light 0.00038003220106475055
traffic light 0.0013505099341273308
traffic light 4.723564052255824e-05
traffic light 1.2882447663287167e-05
traffic light 0.0030488460324704647
traffic light 0.00010091250442201272
traffic light 0.00031347290496341884
stop sign 0.0010971551528200507
traffic light 0.00022973697923589498
traffic light 9.017713455250487e-05
stop sign 9.017713455250487e-05
traffic light 0.00020182500884402543
traffic light 0.0005110037745907903
parking meter 0.00012667740520555526
car 2.7911970391869545e-05
traffic light 0.0005131508223712444
stop sign 0.0004787976504303515
traffic light 0.0004208266327623278
traffic light 0.0004057970945723355
traffic light 0.0006183575023896992
traffic light 0.0005131508223712444
car 0.00010520665819058195
traffic light 9.232421143678948e-05
traffic light 0.000307031674310565
traffic light 7.085346442181617e-05
traffic light 0.00025764896417967975
traffic light 3.86473438993562e-05
traffic light 0.0003735909704118967
traffic light 0.0017906602006405592
traffic light 0.0001760601153364405
traffic light 0.000794417632278055
traffic light 0.0003757380472961813
parking meter 0.0008717122836969793
parking meter 0.00012453032832127064
stop sign 0.00016961889923550189
traffic light 0.0007257112301886082
traffic light 0.00039076758548617363
traffic light 0.0007901234785094857
traffic light 0.00029844336677342653
traffic light 0.0012925389455631375
parking meter 0.0008803005912341177
car 0.0031347288750112057
stop sign 0.0031347288750112057
traffic light 0.0006634460296481848
traffic light 0.00045947395847178996
traffic light 0.00031561998184770346
traffic light 0.0005367686389945447
traffic light 0.0008996242540888488
traffic light 0.00010950080468319356
traffic light 0.000388620508601889
traffic light 7.94417574070394e-05
