car 0.030851315706968307
traffic light 0.0005260332836769521
traffic light 0.0011529790936037898
traffic light 0.00045947395847178996
traffic light 0.000577563070692122
traffic light 0.0056210411712527275
traffic light 0.003085346193984151
traffic light 0.0021256038453429937
traffic light 0.0013612452894449234
traffic light 0.0022071925923228264
traffic light 0.0001932367158588022
traffic light 5.1529790653148666e-05
traffic light 0.0005281803314574063
traffic light 0.00011164788156747818
traffic light 0.0007729468634352088
traffic light 0.0003735909704118967
traffic light 0.009088566526770592
traffic light 0.0005024154670536518
traffic light 4.294149221095722e-06
traffic light 0.00020397208572831005
traffic light 0.00022758990235161036
traffic light 0.0005088566686026752
traffic light 0.000388620508601889
traffic light 8.803005766822025e-05
stop sign 8.803005766822025e-05
stop sign 0.0004981213132850826
traffic light 0.00025550188729539514
traffic light 0.0004208266327623278
traffic light 9.017713455250487e-05
traffic light 6.655931065324694e-05
traffic light 0.00039935586391948164
person 0.0002877080114558339
traffic light 0.0001739130384521559
traffic light 0.0003091787511948496
traffic light 0.0010177133372053504
traffic light 0.0008180354489013553
traffic light 3.86473438993562e-05
traffic light 0.0006655931356362998
stop sign 0.0001739130384521559
traffic light 0.0003864734317176044
parking meter 0.0008910359465517104
person 0.00026409016572870314
traffic light 7.94417574070394e-05
traffic light 0.0003285024140495807
traffic light 0.00039076758548617363
stop sign 0.0031841115560382605
traffic light 0.00039506173925474286
traffic light 0.000541062792763114
traffic light 0.00045732688158750534
traffic light 0.0009125067153945565
traffic light 0.0003048845974262804
traffic light 0.00029844336677342653
