floor 0.07410807291666667
chair 0.012887369791666667
couch 0.17409505208333334
chair 0.00546875
chair 0.006233723958333334
person 0.004475911458333333
bottle 0.0025325520833333333
dining table 0.01953125
ceiling 0.12888671875
light 0.006263020833333333
window 0.07206705729166667
wall 0.17882161458333334
dining table 0.007076822916666667
chair 0.002734375
curtain 0.11072265625
door 0.027096354166666666
shelf 0.017122395833333335
chair 0.005172526041666667
table 0.010794270833333333
chair 0.000947265625
