microwave 0.017731119791666666
toaster 0.0077734375
rug 0.08796223958333334
cabinet 0.3648502604166667
bottle 0.001787109375
sink 0.007138671875
bottle 0.0010677083333333333
chair 0.0011295572916666667
potted plant 0.0028385416666666667
chair 0.002672526041666667
bottle 0.00068359375
bottle 0.0010319010416666666
paper 0.004990234375
floor 0.04365559895833333
counter 0.11252604166666667
wall 0.08122721354166666
dining table 0.07585286458333333
wall 0.060139973958333336
chair 0.00220703125
toaster 0.0049609375
