refrigerator 0.07563151041666667
chair 0.055299479166666665
vase 0.0061686197916666664
chair 0.040205078125
ceiling 0.03902669270833333
chair 0.060100911458333336
oven 0.035029296875
window 0.0256640625
dining table 0.06599609375
sink 0.002506510416666667
wall 0.15736002604166666
floor 0.08645182291666667
chair 0.004899088541666667
cup 0.0012858072916666667
cabinet 0.12747721354166666
bowl 0.002884114583333333
cup 0.0017317708333333334
potted plant 0.019986979166666665
wall 0.016611328125
microwave 0.0033821614583333334
