floor 0.33360677083333334
couch 0.13179036458333335
potted plant 0.0295703125
chair 0.011422526041666667
book 0.00076171875
potted plant 0.012594401041666667
couch 0.030442708333333332
chair 0.029270833333333333
book 0.000693359375
book 0.000546875
book 0.00068359375
book 0.0006510416666666666
book 0.002734375
book 0.0018684895833333333
book 0.00043294270833333336
book 0.0008333333333333334
book 0.0007975260416666667
book 0.000517578125
book 0.0008138020833333334
book 0.00035807291666666664
book 0.00064453125
book 0.001474609375
book 0.0007747395833333333
book 0.0007356770833333333
book 0.000791015625
wall 0.012096354166666667
book 0.002454427083333333
cabinet 0.0825
potted plant 0.009446614583333334
book 0.0005989583333333333
