bed 0.39261069893836975
suitcase 0.08064453303813934
chair 0.08064453303813934
couch 0.08064453303813934
tv 0.08064453303813934
bottle 0.005602213554084301
clock 0.005602213554084301
vase 0.005602213554084301
clock 0.0011523438151925802
person 0.005501302424818277
cat 0.005501302424818277
dog 0.005501302424818277
teddy bear 0.005501302424818277
remote 0.0014062500558793545
cell phone 0.0014062500558793545
book 0.0014062500558793545
clock 0.0014062500558793545
cup 0.0015755208441987634
clock 0.0030501303263008595
cup 0.0005338541814126074
bottle 0.002835286548361182
vase 0.002835286548361182
chair 0.007148437667638063
clock 0.0010937500046566129
bottle 0.0010091145522892475
cup 0.0015039063291624188
clock 0.0015039063291624188
vase 0.0015039063291624188
chair 0.0174967460334301
clock 0.0005598958232440054
book 0.0023828125558793545
clock 0.0023828125558793545
cup 0.0004394531424622983
person 0.00390625
teddy bear 0.006783854216337204
remote 0.0005371093866415322
cell phone 0.0005371093866415322
clock 0.0005371093866415322
clock 0.013684895820915699
suitcase 0.04492838680744171
