bed 0.12770181894302368
tv 0.008160807192325592
laptop 0.0026562500279396772
keyboard 0.0026562500279396772
clock 0.007037760689854622
laptop 0.007320963777601719
teddy bear 0.0012890625512227416
chair 0.00999348983168602
laptop 0.002760416828095913
refrigerator 0.04437500238418579
clock 0.001256510498933494
teddy bear 0.0020442709792405367
chair 0.0060970052145421505
dining table 0.0060970052145421505
handbag 0.0029069010633975267
chair 0.0029069010633975267
laptop 0.0029069010633975267
book 0.0029069010633975267
laptop 0.0041438802145421505
laptop 0.004202473908662796
keyboard 0.004202473908662796
tv 0.009222005493938923
clock 0.009222005493938923
tv 0.005999349057674408
clock 0.0003515625139698386
clock 0.0005045572761446238
clock 0.0029947918374091387
tv 0.011233724653720856
clock 0.0010904947994276881
clock 0.003261718899011612
