railroad 0.15460869565217392
car 0.006980139559849705
car 0.0027461084272678475
car 0.0018443370907139022
car 0.000770799785292539
train 0.0017584541062801932
truck 0.02616639828234031
traffic light 3.0059044551798175e-05
car 0.0010091250670960816
person 0.00016532474503488996
traffic light 8.373590982286635e-05
wall 0.01582608695652174
tree 0.31067096081588835
car 0.00046162104133118625
car 0.0007428878153515835
house 0.11089640365002684
road 0.22781320450885667
grass 0.033466451959205584
pavement 0.007995705850778315
sky 0.07578099838969404
