bicycle 0.0032914653784219
railroad 0.14029844337090713
traffic light 0.0003778851315083199
person 0.003111111111111111
tree 0.40212345679012346
traffic light 0.00032420826623725174
bus 0.0023789586688137414
person 0.0008309178743961353
wall 0.04697799248523886
car 0.0018121309715512614
road 0.2446183574879227
car 0.0021964573268921095
car 0.0002168545356951154
backpack 0.0008888888888888889
car 0.0002447665056360709
car 0.0004573268921095008
car 0.0006312399355877617
car 0.0029114331723027373
grass 0.029391304347826087
car 0.000298443370907139
