microwave 0.026647135416666665
vase 0.012604166666666666
banana 0.0053092447916666665
apple 0.0033626302083333334
oven 0.026953125
bowl 0.03509765625
apple 0.0015787760416666667
orange 0.0013932291666666667
potted plant 0.03983072916666667
bowl 0.006481119791666667
cabinet 0.3859505208333333
bowl 0.002587890625
dining table 0.10103515625
door 0.115029296875
apple 0.0055110677083333335
apple 0.0030013020833333333
counter 0.031575520833333336
oven 0.016956380208333333
oven 0.015944010416666668
wall 0.05231119791666667
