road 0.11257756307031669
car 0.11030595813204509
car 0.00841653247450349
car 0.018247987117552336
car 0.0012367149758454106
car 0.006172839506172839
car 0.1847536231884058
car 0.0015072463768115941
potted plant 0.005142243692968331
potted plant 0.003486849168008588
house 0.39434460547504024
truck 0.010024691358024692
car 0.00011808910359634998
car 9.232420826623726e-05
tree 0.01437037037037037
car 0.00031347289318303813
car 0.0006033279656468062
sky 0.06808373590982286
fence 0.005820719269994632
pavement 0.002980139559849705
