bed 0.24654297530651093
cat 0.004820963833481073
backpack 0.004820963833481073
handbag 0.004820963833481073
teddy bear 0.004820963833481073
cell phone 0.0006315104546956718
book 0.0006315104546956718
clock 0.0006315104546956718
bottle 0.0011588542256504297
cup 0.0011588542256504297
vase 0.0011588542256504297
bowl 0.003300781361758709
remote 0.003300781361758709
cell phone 0.003300781361758709
backpack 0.023183593526482582
handbag 0.023183593526482582
suitcase 0.023183593526482582
chair 0.023183593526482582
laptop 0.023183593526482582
suitcase 0.010302734561264515
suitcase 0.004944661632180214
vase 0.0014355469029396772
suitcase 0.01207682304084301
person 0.002568359486758709
handbag 0.0052343751303851604
handbag 0.006826172117143869
suitcase 0.008225911296904087
suitcase 0.010738932527601719
suitcase 0.00730143254622817
handbag 0.011425781063735485
