couch 0.10570963541666667
floor 0.04982421875
wall 0.5552311197916666
laptop 0.009690755208333334
vase 0.0027213541666666666
chair 0.021787109375
potted plant 0.0025455729166666665
book 0.003056640625
book 0.0017122395833333334
book 0.0010221354166666666
book 0.001181640625
book 0.0014908854166666666
window 0.023453776041666666
vase 0.00043294270833333336
ceiling 0.017731119791666666
table 0.037259114583333336
book 0.0008561197916666667
book 0.0007877604166666666
dining table 0.037067057291666664
book 0.0008984375
