refrigerator 0.112080078125
chair 0.017333984375
floor 0.19724609375
potted plant 0.004423828125
chair 0.00345703125
bottle 0.001689453125
wall 0.12535481770833334
cabinet 0.32830403645833334
sink 0.004104817708333333
sink 0.006178385416666667
counter 0.03201822916666667
chair 0.0019889322916666666
chair 0.007854817708333333
chair 0.0011393229166666667
chair 0.0004752604166666667
paper 0.008922526041666667
light 0.0018489583333333333
towel 0.006669921875
wall 0.019134114583333334
dining table 0.0042578125
