fire hydrant 0.0007230721530504525
potted plant 0.011608835309743881
potted plant 0.0023301441688090563
potted plant 0.0007803888292983174
potted plant 0.0031987125985324383
potted plant 0.00028878796729259193
potted plant 0.003423570189625025
potted plant 0.0011022441321983933
potted plant 0.0007980247610248625
potted plant 0.001635730266571045
potted plant 0.0010757902637124062
potted plant 0.005460517480969429
potted plant 0.00020722189219668508
bench 0.0002446981961838901
potted plant 0.0002446981961838901
potted plant 0.015021382831037045
potted plant 0.03269917517900467
potted plant 0.0015850270865485072
potted plant 0.0008795908070169389
potted plant 0.0035271812230348587
person 0.00012565583165269345
