car 0.1002865806221962
bus 0.1002865806221962
truck 0.1002865806221962
fire hydrant 0.0008266831282526255
parking meter 0.0008266831282526255
fire hydrant 0.0022992813028395176
potted plant 0.008756227791309357
potted plant 0.000330673239659518
traffic light 0.003315550275146961
fire hydrant 0.002799700014293194
potted plant 0.004285525064915419
parking meter 0.0005908028688281775
potted plant 0.017276573926210403
potted plant 0.02324632927775383
traffic light 0.0006811868515796959
potted plant 0.02338521182537079
potted plant 0.039544109255075455
