car 0.01636612042784691
truck 0.01636612042784691
potted plant 0.007944975979626179
potted plant 0.0038005379028618336
potted plant 0.0004453066212590784
fire hydrant 0.0005202592583373189
potted plant 0.0005202592583373189
vase 0.0005202592583373189
potted plant 0.0019311317009851336
potted plant 0.00414223363623023
potted plant 0.003976896870881319
potted plant 0.0013050570851191878
potted plant 0.0029319694731384516
potted plant 0.0008862043032422662
potted plant 0.0008046381990425289
potted plant 0.0017503637354820967
potted plant 0.00020942639093846083
potted plant 0.0006459150463342667
potted plant 0.0005533265648409724
potted plant 0.0027600193861871958
potted plant 0.0007737753912806511
potted plant 0.0004761694581247866
potted plant 0.001521096914075315
potted plant 0.0003659450449049473
