fire hydrant 0.0007208676543086767
potted plant 0.0008906132425181568
potted plant 0.00032626427127979696
traffic light 0.0005378951318562031
potted plant 0.028424672782421112
traffic light 9.920197044266388e-05
potted plant 0.00021824434224981815
potted plant 0.0002733565343078226
bench 0.0003218553029000759
potted plant 0.00013447378296405077
potted plant 0.005352497566491365
person 0.00011904236453119665
bird 0.00011904236453119665
potted plant 0.00011904236453119665
potted plant 0.00040562584763392806
potted plant 0.004823420196771622
potted plant 0.008079449646174908
traffic light 0.00021163087512832135
potted plant 0.0017371367430314422
potted plant 0.00021383535931818187
potted plant 0.06788721680641174
potted plant 0.00018958598957397044
potted plant 0.015239627100527287
potted plant 0.0066156694665551186
potted plant 0.0004453066212590784
potted plant 0.01168158371001482
potted plant 0.00830210279673338
potted plant 0.000229266777751036
potted plant 0.00102949608117342
potted plant 0.0007583439582958817
potted plant 0.025638198480010033
potted plant 0.0007825933280400932
potted plant 0.006071160547435284
