stop sign 0.0012058550491929054
potted plant 0.016646090894937515
potted plant 0.00621004356071353
potted plant 0.0029451963491737843
potted plant 0.0034786825999617577
potted plant 0.011670560576021671
potted plant 0.02069573663175106
potted plant 0.0027247474063187838
potted plant 0.003412547754123807
potted plant 0.0029518099036067724
potted plant 0.008101494051516056
potted plant 0.011948326602578163
potted plant 0.0056897844187915325
potted plant 0.005343679804354906
potted plant 0.0004982143291272223
potted plant 0.006218861322849989
potted plant 0.0037829019129276276
potted plant 0.00852916482836008
