car 0.0024326355196535587
truck 0.0024326355196535587
traffic light 0.0005152979283593595
traffic light 0.0011572731891646981
traffic light 0.0021964572370052338
traffic light 0.00047450349666178226
traffic light 0.0005582394078373909
traffic light 0.005597423296421766
traffic light 0.002108427230268717
traffic light 3.6500267015071586e-05
traffic light 0.0030016102828085423
stop sign 0.00321202352643013
traffic light 0.0009146537631750107
traffic light 0.00019108963897451758
traffic light 0.0005453569465316832
traffic light 4.2941494029946625e-05
traffic light 9.232421143678948e-05
traffic light 0.0005217391299083829
traffic light 1.717659688438289e-05
traffic light 0.0003757380472961813
traffic light 0.0009855072712525725
traffic light 0.009000536985695362
traffic light 9.017713455250487e-05
stop sign 9.017713455250487e-05
car 0.00010735372779890895
traffic light 0.00020182500884402543
traffic light 0.0005002683610655367
traffic light 0.0005131508223712444
stop sign 0.0004938271595165133
traffic light 0.00038003220106475055
traffic light 0.00022973697923589498
traffic light 0.00041653247899375856
car 6.226516416063532e-05
traffic light 8.803005766822025e-05
traffic light 0.0004057970945723355
traffic light 0.0002533548104111105
traffic light 3.86473438993562e-05
traffic light 0.000848094467073679
traffic light 0.0003091787511948496
traffic light 0.00016961889923550189
car 9.447128104511648e-05
traffic light 0.0011873322073370218
parking meter 0.0008738593896850944
traffic light 0.00043800321873277426
traffic light 0.000307031674310565
traffic light 0.00045947395847178996
traffic light 0.003793880809098482
traffic light 0.0005840042722411454
traffic light 0.0009425657335668802
traffic light 0.0003843263548333198
traffic light 0.0005689747631549835
traffic light 6.870638753753155e-05
