car 0.001876543159596622
truck 0.001876543159596622
traffic light 0.0005217391299083829
traffic light 0.0011658614967018366
traffic light 0.00047020934289321303
traffic light 0.0005582394078373909
traffic light 0.005528717301785946
traffic light 0.002132045105099678
traffic light 0.0030466988682746887
traffic light 3.220612052245997e-05
traffic light 0.002179280621930957
traffic light 0.0013483628863468766
stop sign 0.003179817460477352
traffic light 0.0043929144740104675
traffic light 0.008987654000520706
traffic light 0.0001932367158588022
traffic light 4.2941494029946625e-05
traffic light 0.0005303274374455214
traffic light 0.000388620508601889
traffic light 1.93236719496781e-05
traffic light 0.00010735372779890895
traffic light 0.0008158883429132402
stop sign 0.0011508320458233356
traffic light 0.00020182500884402543
traffic light 0.0005152979283593595
traffic light 0.0002340311330044642
traffic light 0.0005260332836769521
traffic light 9.017713455250487e-05
stop sign 9.017713455250487e-05
traffic light 0.00039506173925474286
stop sign 0.0004895330057479441
car 6.655931065324694e-05
car 0.00011164788156747818
traffic light 0.0008438003133051097
traffic light 0.00039935586391948164
traffic light 0.00041653247899375856
traffic light 0.00010520665819058195
traffic light 0.0002512077335268259
traffic light 0.00018679548520594835
car 8.373591117560863e-05
traffic light 6.226516416063532e-05
traffic light 0.0003091787511948496
traffic light 0.00039506173925474286
traffic light 0.000974771857727319
traffic light 3.86473438993562e-05
traffic light 0.0006398282130248845
parking meter 0.0008738593896850944
traffic light 0.00031347290496341884
traffic light 0.00010735372779890895
traffic light 0.00045947395847178996
traffic light 0.0009060655138455331
traffic light 0.0005517981480807066
traffic light 0.00028985505923628807
traffic light 0.00031991410651244223
