vase 0.004589844029396772
potted plant 0.01674804650247097
backpack 0.02081705816090107
handbag 0.02081705816090107
tv 0.037112630903720856
potted plant 0.0013899740297347307
clock 0.002132161520421505
backpack 0.026787109673023224
handbag 0.026787109673023224
backpack 0.006669922266155481
book 0.008193359710276127
book 0.0011197916464880109
book 0.0023144532460719347
couch 0.05934244766831398
bed 0.05934244766831398
handbag 0.009830729104578495
book 0.0014876301866024733
couch 0.07360351830720901
bed 0.07360351830720901
book 0.006038411520421505
