microwave 0.02288411557674408
sink 0.0029394531156867743
bottle 0.006376953329890966
cup 0.006376953329890966
vase 0.006376953329890966
sink 0.0052604167722165585
oven 0.0032910157460719347
sink 0.0032910157460719347
bottle 0.0015983072808012366
wine glass 0.0015983072808012366
cup 0.0015983072808012366
vase 0.0015983072808012366
cup 0.007223307620733976
sink 0.01940104179084301
potted plant 0.014039713889360428
bottle 0.001630859449505806
wine glass 0.001630859449505806
cup 0.001630859449505806
vase 0.001630859449505806
sink 0.009583333507180214
bottle 0.001617838628590107
oven 0.08972331136465073
refrigerator 0.08972331136465073
sink 0.013141276314854622
cup 0.0007128906436264515
bowl 0.0007128906436264515
cup 0.002747396007180214
bottle 0.0003971354162786156
car 0.001246744766831398
sink 0.07390299439430237
potted plant 0.004267578013241291
cup 0.0031282552517950535
toaster 0.0031282552517950535
sink 0.00279947929084301
sink 0.009293620474636555
cup 0.004690755158662796
cup 0.0027311197482049465
bowl 0.0027311197482049465
sink 0.0011621094308793545
bowl 0.004827474243938923
oven 0.004827474243938923
toaster 0.004827474243938923
sink 0.004827474243938923
cup 0.0025878907181322575
cup 0.0018131510587409139
bowl 0.0018131510587409139
toaster 0.0018131510587409139
potted plant 0.014306641183793545
sink 0.0007161458488553762
bowl 0.002539062639698386
