couch 0.16031901041666666
chair 0.059938151041666665
chair 0.011468098958333334
door 0.09229166666666666
chair 0.007776692708333333
chair 0.008642578125
chair 0.0017057291666666666
wall 0.026396484375
chair 0.0018782552083333333
chair 0.018063151041666666
chair 0.0011686197916666668
chair 0.00236328125
wall 0.13101888020833333
rug 0.16354817708333333
cabinet 0.027223307291666665
table 0.008990885416666667
floor 0.077119140625
chair 0.001748046875
dining table 0.003727213541666667
dining table 0.06402018229166667
