dining table 0.0178125
wall 0.23688802083333332
floor 0.09330403645833334
chair 0.0062858072916666665
chair 0.0016731770833333334
chair 0.010654296875
chair 0.005439453125
chair 0.012054036458333334
refrigerator 0.21251627604166667
chair 0.0024739583333333332
paper 0.012428385416666667
chair 0.0003938802083333333
ceiling 0.22001627604166665
dining table 0.00322265625
chair 0.00041341145833333334
chair 0.0012955729166666667
chair 0.00020833333333333335
chair 0.0014485677083333334
door 0.026380208333333332
dining table 0.0004427083333333333
chair 0.000546875
